software_name,cpe_uri,cpe_vendor,cpe_product,match_confidence,status,nvd_url,last_verified_date,deprecated_at,deprecated_reason,product_id,cpe_coverage_flag,data_quality_notes
.NET 10 PQC,,,,,not_found,,,,,,,
.NET System.Security.Cryptography,,,,,not_found,,,,,,,
01 Quantum IronCAP,,,,,not_found,,,,,,,
10.512,,,,,not_found,,,,,,,
1Password,,,,,not_found,,,,,,,
9.512,,,,,not_found,,,,,,,
@noble/curves,,,,,not_found,,,,,,,
@noble/hashes,,,,,not_found,,,,,,,
A10 Networks Thunder ADC,,,,,not_found,,,,,,,
AdGuard DNS,cpe:2.3:a:adguard-dns:adguard_dns:2.2:*:*:*:*:*:*:*,adguard-dns,adguard_dns,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=adguard%20dns,2026-08-07,,,,,
Adobe Acrobat Sign,,,,,not_found,,,,,,,
Adva FSP 3000 S-Flex,,,,,not_found,,2026-04-01,2026-07-11,not in regen,adva-fsp-3000-s-flex,cpe_not_found_pending_nvd,'Adva FSP 3000 S-Flex' not yet indexed in NVD CPE dictionary. PQC-specific products are emerging; re-verify when NVD CPE 2.3 coverage expands. Consider submitting CPE request via https://nvd.nist.gov/products/cpe/request-cpe
Adva Network Security FSP 3000 S-Flex,,,,,not_found,,,,,,,
Africa Quantum Consortium PQC,,,,,not_found,,,,,,,
age (file encryption),,,,,not_found,,,,,,,
age-plugin-pqkem,,,,,not_found,,,,,,,
Aigis Reference Implementation,,,,,not_found,,,,,,,
AIMer Reference Implementation,,,,,not_found,,,,,,,
Akamai Connected Cloud,,,,,not_found,,,,,,,
Akamai Edge,,,,,not_found,,,,,,,
Akamai PQC Edge,,,,,not_found,,,,,,,
Algorand,,,,,not_found,,,,,,,
Algorand FALCON Mainnet,,,,,not_found,,,,,,,
Alibaba Cloud Crypto,,,,,not_found,,,,,,,
Alibaba Cloud GVSM,,,,,not_found,,,,,,,
Alpine Linux,cpe:2.3:o:alpinelinux:alpine_linux:-:*:*:*:*:*:*:*,alpinelinux,alpine_linux,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=alpine%20linux,2026-08-07,,,,,
Amazon CloudFront,cpe:2.3:a:amazon:amazon_cloudfront:-:*:*:*:*:*:*:*,amazon,amazon_cloudfront,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=amazon%20cloudfront,2026-04-01,2026-07-11,not in regen,amazon-cloudfront,cpe_matched,"CPE verified. Source: NVD, 2026-05-06."
Amazon CloudFront Post-Quantum TLS,,,,,not_found,,,,,,,
Amazon Cognito,,,,,not_found,,,,,,,
Amazon EKS,,,,,not_found,,,,,,,
Amazon Web Services (AWS),,,,,not_found,,,,,,,
AMD SEV-SNP (Secure Encrypted Virtualization),,,,,not_found,,,,,,,
AMD Versal Adaptive SoC,,,,,not_found,,,,,,,
American Binary Ambit Client,,,,,not_found,,,,,,,
Anchorage Digital,,,,,not_found,,,,,,,
Android 16,,,,,not_found,,,,,,,
Android 17 PQC,,,,,not_found,,,,,,,
Angela CryptoModule Cryptographic Algorithm Library,,,,,not_found,,,,,,,
ANKATech ANKASecure,,,,,not_found,,,,,,,
AnyDesk Remote Desktop,,,,,not_found,,,,,,,
Apache Guacamole,cpe:2.3:a:apache:guacamole:0.8.3:*:*:*:*:*:*:*,apache,guacamole,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20guacamole,2026-08-07,,,,,
Apache HTTP Server,cpe:2.3:a:apache:http_server:1.2:*:*:*:*:*:*:*,apache,http_server,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20http_server,2026-08-07,,,,,
Apache Tomcat,cpe:2.3:a:apache:tomcat:-:*:*:*:*:*:*:*,apache,tomcat,exact,matched,https://nvd.nist.gov/products/cpe/search#results?namingFormat=2.3&keyword=apache%20tomcat,2026-08-07,,,,,
