product_id,software_name,cert_type,cert_id,cert_vendor,cert_product,pqc_algorithms,certification_level,status,cert_date,cert_link
net-system-security-cryptography,.NET System.Security.Cryptography,FIPS 140-3,4766,Microsoft Corporation,Kernel Mode Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-08-19,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4766
net-system-security-cryptography,.NET System.Security.Cryptography,FIPS 140-3,4825,Microsoft Corporation,Cryptographic Primitives Library,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-07,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4825
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4555,Advanced Micro Devices (AMD),"AMD Ryzen PRO 5000 Series PSP Cryptographic CoProcessor (models 5475U, 5675U, 5875U)",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-07-31,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4555
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4626,Advanced Micro Devices (AMD),AMD Ryzen PRO 6000 Series PSP Cryptographic CoProcessor,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-10-04,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4626
amd-sev-snp-secure-encrypted-virtualization,AMD SEV-SNP (Secure Encrypted Virtualization),FIPS 140-3,4819,"Advanced Micro Devices, Inc. (AMD)",AMD Pensando PenTrust Security Module,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-10-01,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4819
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4880,"Advanced Micro Devices (AMD), Microsoft Corporation",Pluton Security Processor ROM,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-11-14,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4880
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4915,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Raphael"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4915
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4914,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Storm Peak"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2024-12-12,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4914
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,4941,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Genoa"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-01-15,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4941
amd-versal-adaptive-soc,AMD Versal Adaptive SoC,FIPS 140-3,5085,Advanced Micro Devices (AMD),"AMD ASP Cryptographic CoProcessor (""Turin"")",No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2025-10-22,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5085
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),ACVP,A6880,"Amazon Web Services, Inc.",AWS Key Management Service Cryptographic Algorithm Library,ML-DSA,,Active,2025-05-02,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=19616
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),ACVP,A7917,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA3),"ML-DSA, ML-KEM",,Active,2026-01-21,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=20709
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),FIPS 140-3,4490,"Amazon Web Services, Inc.",AWS OpenSSL FIPS Provider,No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2023-04-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/4490
aws-application-load-balancer-alb,AWS Application Load Balancer (ALB),FIPS 140-3,5146,"Amazon Web Services, Inc",AWS-LC Cryptographic Module (dynamic),No PQC Mechanisms Detected,FIPS 140-3 L3,Active,2026-01-26,https://csrc.nist.gov/projects/cryptographic-module-validation-program/certificate/5146
aws-cloudhsm,AWS CloudHSM,ACVP,A6295,"Amazon Web Services, Inc.",AWS-LC Cryptographic Module (static build) (C_SHA),ML-KEM,,Active,2024-11-25,https://csrc.nist.gov/projects/cryptographic-algorithm-validation-program/details?product=18997
