software_name,purl,purl_type,purl_namespace,purl_name,match_confidence,status,registry_url,last_verified_date
.NET 10 PQC,,,,,,not_found,,2026-04-01
.NET System.Security.Cryptography,pkg:github/dotnet/runtime,github,dotnet,runtime,exact,matched,https://github.com/dotnet/runtime,2026-04-01
01 Quantum IronCAP,,,,,,not_found,,2026-04-01
1Password,,,,,,not_found,,2026-04-01
A10 Networks Thunder ADC,,,,,,not_found,,2026-04-01
AdGuard DNS,,,,,,not_found,,2026-04-01
Adobe Acrobat Sign,,,,,,not_found,,2026-04-01
Adva FSP 3000 S-Flex,,,,,,not_found,,2026-04-01
Adva Network Security FSP 3000 S-Flex,,,,,,not_found,,2026-04-01
Africa Quantum Consortium PQC,,,,,,not_found,,2026-04-01
Akamai Connected Cloud,,,,,,not_found,,2026-04-01
Akamai Edge,,,,,,not_found,,2026-04-01
Akamai PQC Edge,,,,,,not_found,,2026-04-01
Algorand,pkg:github/algorand/go-algorand,github,algorand,go-algorand,exact,matched,https://github.com/algorand/go-algorand,2026-04-01
Algorand FALCON Mainnet,,,,,,not_found,,2026-04-01
Alibaba Cloud GVSM,,,,,,not_found,,2026-04-01
Alpine Linux,,,,,,not_found,,2026-04-01
Amazon CloudFront,,,,,,not_found,,2026-04-01
Amazon Cognito,,,,,,not_found,,2026-04-01
Amazon EKS,,,,,,not_found,,2026-04-01
Amazon Web Services (AWS),,,,,,not_found,,2026-04-01
AMD SEV-SNP (Secure Encrypted Virtualization),pkg:github/AMDESE/AMDSEV,github,AMDESE,AMDSEV,exact,matched,https://github.com/AMDESE/AMDSEV,2026-04-01
AMD Versal Adaptive SoC,,,,,,not_found,,2026-04-01
American Binary Ambit Client,,,,,,not_found,,2026-04-01
Anchorage Digital,,,,,,not_found,,2026-04-01
Android 16,,,,,,not_found,,2026-04-01
Android 17 PQC,,,,,,not_found,,2026-04-01
ANKATech ANKASecure,,,,,,not_found,,2026-04-01
ANSSI PQC Migration Guidance,,,,,,not_found,,2026-04-01
Apache Guacamole,pkg:github/apache/guacamole-server,github,apache,guacamole-server,exact,matched,https://github.com/apache/guacamole-server,2026-04-01
Apache HTTP Server,pkg:github/apache/httpd,github,apache,httpd,exact,matched,https://github.com/apache/httpd,2026-04-01
Apache Tomcat,pkg:github/apache/tomcat,github,apache,tomcat,exact,matched,https://github.com/apache/tomcat,2026-04-01
Apache Traffic Server,pkg:github/apache/trafficserver,github,apache,trafficserver,exact,matched,https://github.com/apache/trafficserver,2026-04-01
Apple codesign,,,,,,not_found,,2026-04-01
Apple PQ3 / CoreCrypto,,,,,,not_found,,2026-04-01
Apple Safari,,,,,,not_found,,2026-04-01
Applivery UEM PQC,,,,,,not_found,,2026-04-01
AppViewX CERT+,,,,,,not_found,,2026-04-01
AppViewX Spring 2026,,,,,,not_found,,2026-04-01
Aptos,pkg:github/aptos-labs/aptos-core,github,aptos-labs,aptos-core,exact,matched,https://github.com/aptos-labs/aptos-core,2026-04-01
Arch Linux,,,,,,not_found,,2026-04-01
Arista EOS (Extensible Operating System),,,,,,not_found,,2026-04-01
