resource_type,resource_id,source_id,match_method
library,KpqC-Competition-Results,kisa,mapped
library,liboqs-v0.15.0,oqs-project,mapped
library,TCG-TPM-PQC-Spec-2025,tcg,mapped
library,FIPS 203,nist-csrc,mapped
library,FIPS 204,nist-csrc,mapped
library,FIPS 205,nist-csrc,mapped
library,FIPS 206,nist-csrc,mapped
library,FIPS 186-5,nist-csrc,mapped
library,NIST SP 800-208,nist-csrc,mapped
library,NIST SP 800-227,nist-csrc,mapped
library,NIST IR 8547,nist-csrc,mapped
library,NIST IR 8545,nist-csrc,mapped
library,RFC 9629,ietf,mapped
library,RFC 9708,ietf,mapped
library,RFC 9794,ietf,mapped
library,RFC 9802,ietf,mapped
library,RFC 9810,ietf,mapped
library,RFC 9814,ietf,mapped
library,RFC 9858,ietf,mapped
library,RFC 9882,ietf,mapped
library,draft-ietf-tls-hybrid-design-16,ietf,mapped
library,draft-ietf-tls-ecdhe-mlkem-04,ietf,mapped
library,draft-ietf-tls-mlkem-07,ietf,mapped
library,draft-ietf-ipsecme-ikev2-mlkem,ietf,mapped
library,draft-yang-tls-hybrid-sm2-mlkem-03,ietf,mapped
library,draft-ietf-lamps-kyber-certificates-11,ietf,mapped
library,RFC 9881,ietf,mapped
library,draft-ietf-lamps-pq-composite-kem-12,ietf,mapped
library,draft-ietf-lamps-pq-composite-sigs-15,ietf,mapped
library,draft-ietf-lamps-cms-kyber-13,ietf,mapped
library,draft-ietf-pquip-pqc-engineers-14,ietf,mapped
library,draft-ietf-pquip-hybrid-signature-spectrums-07,ietf,mapped
library,draft-kwiatkowski-pquip-pqc-migration-00,ietf,mapped
library,draft-wang-ipsecme-kem-auth-ikev2-03,ietf,mapped
library,NSA CNSA 2.0,nsa-advisory,mapped
library,NSA CNSA 2.0 FAQ,nsa-advisory,mapped
library,NSA CSfC PQC Guidance Addendum,nsa-advisory,mapped
library,BSI TR-02102-1,bsi,mapped
library,BSI TR-02102-2,bsi,mapped
library,BSI TR-02102-3,bsi,mapped
library,BSI TR-02102-4,bsi,mapped
library,ANSSI PQC Position Paper,anssi,mapped
library,ANSSI PQC Follow-up Paper,anssi,mapped
library,ENISA PQC Guidelines,enisa,mapped
library,UK NCSC PQC Guidance,ncsc-uk,mapped
library,NIST NCCoE SP 1800-38C,nist-csrc,mapped
library,Singapore-CSA-Quantum-Safe-Handbook,csa-singapore,mapped
library,IEEE 1609.2 Amendment,ieee-sa,mapped
library,IETF RFC 8391,ietf,mapped
library,IETF RFC 8554,ietf,mapped
library,CISA-PQC-CATEGORY-LIST-2026,cisa,mapped
library,Samsung-Thales-ML-KEM-eSE-2026,thales-research,mapped
library,ETSI-TS-104-015,etsi-cyber,mapped
library,draft-wang-ipsecme-hybrid-kem-ikev2-frodo-03,ietf,mapped
library,draft-turner-lamps-cms-fn-dsa-00,ietf,mapped
library,EO-14306,cisa,mapped
library,draft-josefsson-ntruprime-ssh,ietf,mapped
library,draft-sfluhrer-ipsecme-ikev2-mldsa-01,ietf,mapped
library,draft-ietf-tls-mldsa-02,ietf,mapped
library,RFC 9690,ietf,mapped
library,RFC 8551,ietf,mapped
library,NIST-SP-800-90A-R1,nist-csrc,mapped
library,NIST-SP-800-90B,nist-csrc,mapped
library,NIST-SP-800-90C,nist-csrc,mapped
library,ETSI-GS-QKD-002,etsi-cyber,mapped
library,ETSI-GS-QKD-003,etsi-cyber,mapped
library,ETSI-GS-QKD-004,etsi-cyber,mapped
library,ETSI-GS-QKD-005,etsi-cyber,mapped
library,ETSI-GS-QKD-008,etsi-cyber,mapped
